Country,State,District,Year,Social Group Type,Land Area Size,Category Of Holdings,"Wholly Owned And Self Operated Holdings (UOM:Number), Scaling Factor:1","Area Of Wholly Owned And Self Operated Holdings (UOM:Ha(Hectare)), Scaling Factor:1","Wholly Leased-In Holdings (UOM:Number), Scaling Factor:1","Area Of Wholly Leased-In Holdings (UOM:Ha(Hectare)), Scaling Factor:1","Wholly Otherwise Operated Holdings (UOM:Number), Scaling Factor:1","Area Of Wholly Otherwise Operated Holdings (UOM:Ha(Hectare)), Scaling Factor:1","Partly Owned And Partly Leased-In Holdings (UOM:Number), Scaling Factor:1","Owned Area Of Partly Owned And Partly Leased-In Holdings (UOM:Ha(Hectare)), Scaling Factor:1","Leased Area Of Partly Owned And Partly Leased-In Holdings (UOM:Ha(Hectare)), Scaling Factor:1","Partly Owned And Partly Otherwise Operated Holdings (UOM:Number), Scaling Factor:1","Owned Area Of Partly Owned And Partly Otherwise Operated Holdings (UOM:Ha(Hectare)), Scaling Factor:1","Operated Area Of Partly Owned And Partly Otherwise Operated Holdings (UOM:Ha(Hectare)), Scaling Factor:1","Partly Leased-In And Partly Otherwise Operated Holdings (UOM:Number), Scaling Factor:1","Leased-In Area Of Partly Leased-In And Partly Otherwise Operated Holdings (UOM:Ha(Hectare)), Scaling Factor:1","Operated Area Of Partly Leased-In And Partly Otherwise Operated Holdings (UOM:Ha(Hectare)), Scaling Factor:1","Partly Owned, Partly Leased-In And Partly Otherwise Operated Holdings (UOM:Number), Scaling Factor:1","Owned Area Of Partly Owned, Partly Leased-In And Partly Otherwise Operated Holdings (UOM:Ha(Hectare)), Scaling Factor:1","Leased-In Area Of Partly Owned, Partly Leased-In And Partly Otherwise Operated Holdings (UOM:Ha(Hectare)), Scaling Factor:1","Operated Area Of Partly Owned, Partly Leased-In And Partly Otherwise Operated Holdings (UOM:Ha(Hectare)), Scaling Factor:1"
India,Andaman and Nicobar Islands,North and Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(0.5-1.0),Marginal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,North and Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(1.0-2.0),Small,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,North and Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(2.0-3.0),Semi-Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,North and Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(3.0-4.0),Semi-Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,North and Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(4.0-5.0),Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,North and Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(5.0-7.5),Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,North and Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(7.5-10.0),Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,North and Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(10.0-20.0),Large,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,North and Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,20 & Above,Large,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,North and Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,Below 0.5,Marginal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,North and Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(0.5-1.0),Marginal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,North and Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(1.0-2.0),Small,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,North and Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(2.0-3.0),Semi-Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,North and Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(3.0-4.0),Semi-Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,North and Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(4.0-5.0),Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,North and Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(5.0-7.5),Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,North and Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(7.5-10.0),Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,North and Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(10.0-20.0),Large,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,North and Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,20 & Above,Large,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,North and Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Institutional,Below 0.5,Marginal,43,7.891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,North and Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Institutional,(0.5-1.0),Marginal,14,9.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,North and Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Institutional,(1.0-2.0),Small,12,15.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,North and Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Institutional,(2.0-3.0),Semi-Medium,10,21.322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,North and Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Institutional,(3.0-4.0),Semi-Medium,5,18.239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,North and Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Institutional,(4.0-5.0),Medium,5,21.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,North and Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Institutional,(5.0-7.5),Medium,4,23.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,North and Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Institutional,(7.5-10.0),Medium,3,24.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,North and Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Institutional,(10.0-20.0),Large,3,39.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,North and Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Institutional,20 & Above,Large,4,148.521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,North and Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Others,Below 0.5,Marginal,1351,433.614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,North and Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Others,(0.5-1.0),Marginal,909,691.351,0,0,2,1.281,0,0,0,2,0.448,0.97,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,North and Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Others,(1.0-2.0),Small,1231,1985.695,5,8.228,1,1.003,0,0,0,2,3.232,0.562,1,1.045,0.627,0,0,0,0
India,Andaman and Nicobar Islands,North and Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Others,(2.0-3.0),Semi-Medium,892,1972.332,0,0,2,4.096,0,0,0,3,6.124,1.835,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,North and Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Others,(3.0-4.0),Semi-Medium,727,2716.751,0,0,0,0,0,0,0,1,1.517,1.798,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,North and Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Others,(4.0-5.0),Medium,944,3966.701,0,0,0,0,1,0.483,3.834,1,2.169,2.159,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,North and Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Others,(5.0-7.5),Medium,21,112.234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,North and Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Others,(7.5-10.0),Medium,4,31.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,North and Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Others,(10.0-20.0),Large,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,North and Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Others,20 & Above,Large,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,Below 0.5,Marginal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(0.5-1.0),Marginal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(1.0-2.0),Small,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(2.0-3.0),Semi-Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(3.0-4.0),Semi-Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(4.0-5.0),Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(5.0-7.5),Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(7.5-10.0),Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(10.0-20.0),Large,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,20 & Above,Large,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,Below 0.5,Marginal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(0.5-1.0),Marginal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(1.0-2.0),Small,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(2.0-3.0),Semi-Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(3.0-4.0),Semi-Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(4.0-5.0),Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(5.0-7.5),Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(7.5-10.0),Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(10.0-20.0),Large,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,20 & Above,Large,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Institutional,Below 0.5,Marginal,18,5.205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Institutional,(0.5-1.0),Marginal,12,6.808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Institutional,(1.0-2.0),Small,21,35.655,1,2.278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Institutional,(2.0-3.0),Semi-Medium,19,44.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Institutional,(3.0-4.0),Semi-Medium,2,6.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Institutional,(4.0-5.0),Medium,3,13.316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Institutional,(5.0-7.5),Medium,3,15.656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Institutional,(7.5-10.0),Medium,1,8.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Institutional,(10.0-20.0),Large,7,111.475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Institutional,20 & Above,Large,11,765.999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Others,Below 0.5,Marginal,1661,473.068,0,0,1,0.053,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Others,(0.5-1.0),Marginal,945,654.533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Others,(1.0-2.0),Small,1197,1589.574,6,8.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Others,(2.0-3.0),Semi-Medium,958,2258.536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Others,(3.0-4.0),Semi-Medium,161,551.626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andaman and Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Others,(4.0-5.0),Medium,139,650.486,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
